"fc";"pval.fc.fdr"
"KDR";-1.91984396537028;1.3241669709168e-10
"PPAT";2.21271216084768;1.02261665072938e-13
"LOXL1";1.56698340759993;1.19022709857316e-05
"EGLN3";3.45722344626869;4.33743128351778e-07
"LDLR";-1.39081240411065;1.68112198162665e-08
"LSM4";1.25717540457623;1.84461504451214e-09
"AKAP12";-1.85888687526724;0.000206127599309418
"SYNE1";-2.67610281174118;9.70150998078502e-20
"HAUS8";1.26220155124328;2.00640218567218e-12
"TUBG1";1.49909620719647;4.75404738550406e-14
"PSMC3IP";1.34987031434575;4.10463246241897e-12
"ITGB4";3.1081276454984;5.74047702256398e-12
"MYH10";-1.52529803391403;5.88992849459738e-11
"ATP13A3";1.23551569258997;3.35293246064292e-10
"GRHL1";3.01010806814846;4.27900851449655e-09
"LDHA";1.56764991632239;3.3691221242552e-07
"KLRD1";-1.85075564868838;2.79841999468678e-13
"DSC2";3.22435740734838;1.37328606948183e-07
"ETS1";-1.40523014243701;9.38012152300333e-09
"PSAT1";4.7994569918648;2.0958332391076e-10
"ESPL1";3.72172097283286;6.08330570688736e-18
"DRAM1";-2.4041404973567;1.8379536285504e-19
"LCP1";-1.25278735093005;7.80894497024467e-13
"STXBP1";-1.27289211564544;1.83814906738993e-11
"TLR4";-2.1399164502295;4.98076557737484e-19
"PPIL1";1.22466747369027;1.22398649706007e-09
"TCF19";1.89364641182966;9.42415390567057e-12
"THBS1";-1.37518158416807;7.68896405858537e-06
"KIF23";3.75552975930966;1.1961507986584e-18
"SLC5A6";1.96000727278435;5.0915363409326e-06
"KIF11";3.69716486765236;2.43775929086571e-17
"CEP55";4.08540484644346;1.11584304466093e-16
"TET1";2.14706660982554;2.15822721820383e-05
"SECISBP2L";-1.98235524320273;4.32768766309924e-14
"FGF2";-1.61579105221722;1.26687655599003e-12
"FBN2";5.41770337144181;0.00027727139696839
"RGS3";-1.24920483233986;3.81229083057701e-15
"TMTC3";1.85799253266876;6.56850912342413e-11
"FANCI";3.0776783807445;1.08258449482761e-15
"TAF4B";1.60919965099527;1.3603617315131e-08
"SLC39A6";1.44997030275071;6.77264631565563e-13
"GATA6";-2.31802897401395;3.07785731455956e-18
"PMAIP1";2.41154010126715;5.81416840582258e-07
"FKBP10";1.6968559715542;3.08987874291361e-08
"CARM1";1.25775573525785;1.31919554653264e-14
"PGD";1.38864213720816;0.0003002870986501
"XPR1";1.40978307655635;6.8476008787475e-10
"RGL1";-1.29489521851939;9.18139283603536e-14
"PARP1";1.35877046188833;6.8476008787475e-10
"OSR1";-1.91058352955754;8.53173096732044e-07
"PDIA6";1.29585617783469;2.56757586472132e-13
"HSPD1";1.66307877964709;1.22446879802242e-09
"FANCD2";2.07476959276247;1.03904444813099e-15
"CCNA2";3.95166019985873;1.54067381397064e-14
"TBC1D7";1.24473382329417;3.86935369883924e-11
"PM20D2";1.23544963358327;1.62186141319183e-08
"EGFR";2.01306712519076;0.00146476241847387
"CCT6A";1.6946743038857;0.000259841624758275
"DOCK11";-1.72355778638941;4.40285662934179e-17
"DOK2";-2.22052116225598;1.1961507986584e-18
"TACC1";-1.56612472695338;1.48024287052313e-13
"SYBU";-1.65837809779934;4.31132951081507e-09
"CDKN2A";4.26912748408247;1.27523083459193e-07
"ZEB1";-1.55639824139385;1.77357048072788e-15
"ADAM12";3.14606426783137;2.94434127232876e-07
"CHEK1";3.41911294195985;1.72531696417865e-17
"SIDT2";-1.26714899566132;1.36090840892607e-15
"DIXDC1";-1.33760818566581;1.58695098509196e-13
"ITPR1";-1.66112928054816;7.1990593640779e-17
"SLC7A11";3.84443953783667;0.000177097739956883
"TWF1";1.28062158201012;2.00604423961309e-10
"KCTD14";-1.40136405774936;3.2691943809944e-11
"CENPU";3.32700737299028;8.63981090007459e-12
"PDK1";1.94605963974667;1.02387779049369e-10
"TRIM36";-1.21168635921891;4.93076786132376e-07
"UTRN";-1.63513410820969;3.06810217076167e-17
"PLOD2";2.05847524869763;0.000112058351646207
"LPCAT1";-1.81425572834703;4.40951021037908e-14
"DDAH1";-1.91769233498921;6.76225335113599e-17
"MSI2";1.26366550677145;2.09970984383329e-09
"ANKRD29";-1.92630848730795;1.99170625830104e-11
"PXYLP1";1.67664419475515;1.357036570855e-07
