"name";"degree";"closeness";"is_degree";"is_closeness"
"1548";"DLK2";56;0.000104635345819818;1;0
"1551";"LPAR3";68;0.000101512536798295;1;0
"1552";"MAP6";54;0.00010495382031906;1;0
"1575";"IL16";104;0.000130106687483737;1;1
"1580";"LCLAT1";77;0.000127730233746328;1;1
"1585";"PARP15";72;0.000125454773554134;1;1
"1600";"JUP";72;0.000129382843834907;1;1
"1602";"CBX2";55;0.000121951219512195;1;0
"1604";"XXYLT1";46;0.000128485159964024;0;1
"1619";"CNIH2";61;0.00010354110581901;1;0
"1625";"PSMD2";18;0.000127000254000508;0;1
"1637";"SFN";56;0.000124440019910403;1;0
"1639";"A2M";27;0.000131440588853838;0;1
"1646";"ATAD5";42;0.00012827090815803;0;1
"1682";"AURKB";62;0.000125628140703518;1;1
"1716";"SHMT2";22;0.000125470514429109;0;1
"1719";"KPNA2";43;0.000126198889449773;0;1
"1747";"DNAH2";73;0.000104865771812081;1;0
"1757";"CSF1";67;0.000128816179312122;1;1
"1764";"XPOT";43;0.000127404764938209;0;1
"1765";"NELL2";59;9.9403578528827e-05;1;0
"1810";"KIF24";75;0.000102891243955139;1;0
"1817";"ESPN";69;0.000103993344425957;1;0
"1826";"FANCA";59;0.000126630365961758;1;1
"1843";"FAM83G";55;0.000120091269364717;1;0
"1893";"BLM";72;0.000127064803049555;1;1
"1900";"MPEG1";92;0.000127746550843127;1;1
"1911";"NUP62CL";69;0.000107909787417719;1;0
"1918";"WDHD1";23;0.000125801987671405;0;1
"1924";"PAX9";65;0.000101853738032186;1;0
"1925";"ARHGAP11A";36;0.000126823081800888;0;1
"1933";"IQANK1";55;9.69086151758891e-05;1;0
"1934";"CR1";128;0.00013444474321054;1;1
"1949";"AIF1";96;0.000130718954248366;1;1
"2013";"C12orf75";64;9.9265435775263e-05;1;0
"2018";"KIFC1";47;0.000127177921912756;0;1
"2026";"HLA-DMB";79;0.00012591286829514;1;1
"2036";"PCED1B-AS1";69;0.000121373953149654;1;0
"2044";"AP002784.1";59;0.000119904076738609;1;0
"2084";"LYRM4-AS1";31;0.000127926314442881;0;1
"2086";"EPOP";64;0.000117178345441762;1;0
"2093";"MYO19";28;0.00013005592404734;0;1
"2097";"TRG-AS1";80;0.000121359223300971;1;0
