"name";"degree";"closeness";"is_degree";"is_closeness"
"1521";"LILRB3";262;0.000181290790427846;1;1
"1535";"GIMAP1";256;0.000167560321715818;1;0
"1541";"TSPAN4";221;0.000179888469149128;0;1
"1556";"HLA-DPB1";253;0.000167196121049992;1;0
"1557";"PELATON";265;0.00016826518593303;1;0
"1587";"INMT";253;0.000169348010160881;1;0
"1588";"PLEKHO2";200;0.000175623463294696;0;1
"1612";"AC090559.1";284;0.000167757087736957;1;0
"1617";"MRC1";269;0.000184467810367091;1;1
"1620";"PECAM1";276;0.000183553597650514;1;1
