"name";"degree";"closeness";"is_degree";"is_closeness"
"2247";"HLA-DMA";328;0.000186706497386109;1;1
"2249";"HLA-DRA";236;0.000176991150442478;1;1
"2251";"AGER";205;0.000175561797752809;1;1
"2255";"AIF1";328;0.000184060371801951;1;1
"2256";"LST1";263;0.000178762960314623;1;1
"2257";"LILRB3";226;0.000177683013503909;1;1
"2277";"GIMAP1";257;0.000178731009830206;1;1
"2287";"TSPAN4";186;0.000174489617867737;0;1
"2309";"HLA-DPB1";256;0.00017921146953405;1;1
"2311";"PELATON";202;0.000169061707523246;1;0
"2346";"SPAAR";208;0.000173310225303293;1;0
"2362";"CD302";202;0.000174916914465629;1;1
"2363";"INMT";257;0.000176553672316384;1;1
"2365";"HLA-DMB";334;0.000184229918938836;1;1
"2379";"PCED1B-AS1";269;0.000175777816839515;1;1
"2417";"PECAM1";233;0.000177430801987225;1;1
"2439";"AL008729.2";248;0.000179275726066691;1;1
"2455";"TRG-AS1";222;0.000172741406115046;1;0
